search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Voltagem,Quantidade de alto-falantes
1496, Caixa Caixinha Som Amplificada Bluetooth Mp3 Usb Cartao 106 ,64,NA,"
			
				Novo
			
			
				
					 - 
				
				56
				vendidos
			
		",(46 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 537
		
		 sem juros
		
	

	
		",37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-925202298-caixa-caixinha-som-amplificada-bluetooth-mp3-usb-cartao-106-_JM,3,0,0,0,0,#925202298,Yes,RD-106,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1497, Caixa Jbl Xtreme 2 Preto Original Bluetooth 40w Garantia 1 A ,1500,NA,"
			
				Novo
			
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 12500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,171,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=YMQTnSJM2jsBKVfODY5BurWhG%2FdamhrgYEAa095BEn52wvazv5OCPdu73lu6UiIlOpFINd4S30pp6Tfcozq3lGLp1JbaBD%2FvLChxrqpHiRwBYHasBPceRLCUyee2WZw8kv73RW5hv7ovPCgAGb2sAco1Hvvzy2JlPm7mP9c7oxH%2F6uFnqWmg%2B3aFJ98u5XHVUPPmwLfyfPYcp7yvPrV5ij0CHPZbt8f%2FT8j6uxPYnvtXFTyHdwzXlQ4HL%2FDithk3cdjJlYU25pijZXfHXDKnpTMQaMhkg7kFCWRnNmevRpiegePZn5%2BE4bTl%2Fw5DHSXAG0XB8nHPoEZQZ3mRDMBA5rmsX1XFyY43VMI6SfxrkzxKfsEMlcCPqqfIFdJOwTjVvUD7%2FpUAlRcjdf3LwUPvIWxjC2U2nSWJXdywIkcigsbDPVVfdvQWXZtLI8Wm0QjsB42D9sq5wv9aD9nu1AQbYtREybNvc%2FS9PjmKTxkSmvRyCXR5cHXVKLXIBaAOp4vcv%2Bi1sduJHPq3bJ1yWc4E%2BUdCfN5pvxRVQ8P1yRFsyhrsHdoF6rQlYMYc%2BJzWerDozhks6TCL6xwVH7%2BFN73L%2Fh%2FP2lq7lU0lNr9XHWnlVRYBb7tkeW%2Fl%2FCBeyskmST1vETrYm5Ee3hKVwqfRiXHuY5JkMsROmzwgZjjiaGsImKZf32ZRg85JUNb9AidE3M8ZTAh6MDUhkEtRFFnGFlhQYAN0AXCCOlgPwF4YlOnn%2BxKxRmrXD7hvzQImSHvm0aEDujSLflFE9T%2F3490BkCxLE46o9eZ5AOEp3PWwzp%2BWxqvUu2tOySbuBGoNINq6V48Opbp2MaypgOKbuUY73XcNC6fCWXHwPm5gVfRMo4uPReW30KWsa6%2BzxAVu6dHmogTv6ViuZCyA61FTdO83kTlFJk9TYlmW6maE8zb%2Fllee6KyQ6ey1IshLy1Hst%2FPf5Z98aceoEkIDkrV3hj4IkutsC%2BVqrCZPJvrlPLaDEoHomvxCC1zM4JITuRBxOVWZNK0GVsVQZYHDFO7RqXQo4dCjv34AsGp0n%2BDSud%2BFXTQ4zoW4b11Pn9yx5qpe3STIg63dsTUktRSJt61lpbs%2FRtW26s1v2YT%2BInztfmLHARu8S6VBVE6SC1BEYUTISelbINiLjGTNZgItbrAueQfzYPftdBBcMPZLBap2MGjBQQIwEdrQzcm8WJ5NeQPQBUf98nbNLovEK6cmuE3NDFQflkGAfFQrVm0LQjp5i10jlXNgofzxCEp0CDMpByrafh21OqmP4sMMQ9iCTI%2B9fV67s2UWKYf2pRN41isZHrr%2BK2H6ximvcGUaBg%2FXKppfMKKKhZBCxdvi2%2Bi8ChF%2B6JFgTuS46eGKplt4u%2FZNEDZ6X9M%2B9Z%2B64DvTxyaBny8eXmqc5pjWT2REtjZE4uRitqio%2FFfU81cUBy5xXpkmGmjGA9QbCVIkI2d4t%2B2AuNxZlXZzuSRrd0U1PyeSq4d2nxKXceGJuWkS9KBSN4JrAEBBZs1gkIGIRiJIkMbansxkckkQzMIomvEr7UOpZXdFUwOa%2FEvRpOEG5bQsY6ttdtH9QgVfx1%2ByXUpOJDErqma6jPfmjF4F7bie0oYuDoP1nFgds%2FWV1nDqAhIxM%2FLnskLjcjSX8dLhKhrKN4BwOs8%2BWA7HUy0J4s6BtY2RT8e%2BOJjsr4frKFAUUG2IjDyP8ac09afIatCPp71axAceEDVvJGwjDMyl1XdIFKxDofuibFtbQZR%2FadkpcjqriDW9mIFjUE5TC8PsMEU9ma2WPOU%2F%2F308Xt%2BO1neZ5%2BKsp5bmJD5ujap9S%2FKR5KLX7lstC5C8NP%2FlMc3LfHHbAw4yK8iBHaY6VrO61irQlgIGj4KW13sce4kUS6HQFu4SYro79audPPSvp%2FBIQuJjTKuoukEMvgDN1ITMhCEd,126,28,13,1,3,#1213922965,JBL,Xtreme 2,NA,40 W,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1498, Bag Capa Bolsa Maleta New Bluetooth Caixa Som Jbl Boombox ,329,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2750
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,559,https://perfil.mercadolivre.com.br/CHERRY+IMPORT,https://produto.mercadolivre.com.br/MLB-1235345361-bag-capa-bolsa-maleta-new-bluetooth-caixa-som-jbl-boombox-_JM,439,49,21,21,29,#1235345361,JBL,New Boombox,NA,NA,Bolsa,NA,NA,NA,NA,NA,NA,NA,-1,Bolsa,-1,NA,NA,NA,NA,NA
1499, Caixa De Som Jbl Boombox Bluetooth Verde Original ,1749,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 14575
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,559,https://perfil.mercadolivre.com.br/STOCKCARNET,https://produto.mercadolivre.com.br/MLB-1069500918-caixa-de-som-jbl-boombox-bluetooth-verde-original-_JM,439,49,21,21,29,#1069500918,JBL,Boombox,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,Ativo,NA,NA,NA,NA,NA,NA,NA
1500, Caixa De Som Portátil Trc 336 Bluetooth 290w Iluminação Led ,529,NA,"
			
			
				
				2
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 4408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DELOX+OFICIAL?brandId=1640,https://produto.mercadolivre.com.br/MLB-1235330082-caixa-de-som-portatil-trc-336-bluetooth-290w-iluminaco-led-_JM,NA,NA,NA,NA,NA,#1235330082,TRC,336,NA,290 W,Caixa,Entrada para Microfone,NA,NA,NA,NA,NA,Ativo,Ativo,De piso,NA,NA,NA,NA,NA,NA
1501, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 Bluetooth ,167,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(129 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1392
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,926,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1180294462-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-bluetooth-_JM,749,120,39,6,12,#1180294462,JBL,Wind,NA,3 W,Caixa,NA,NA,NA,NA,NA,NA,NA,Ativo,NA,NA,20 kHz,20 Hz,NA,NA,NA
1502, Caixa Bluetooth Portátil Jbl Wind P/ Moto E Bike Promoção ,163,NA,"
			
				Novo
			
			
				
					 - 
				
				11
				vendidos
			
		",(127 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1558
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,926,https://perfil.mercadolivre.com.br/JPARTSBRASIL,https://produto.mercadolivre.com.br/MLB-1179037057-caixa-bluetooth-portatil-jbl-wind-p-moto-e-bike-promoco-_JM,749,120,39,6,12,#1179037057,JBL,Wind,NA,3 W,Caixa,NA,NA,NA,NA,NA,NA,NA,Ativo,NA,NA,20 kHz,20 Hz,NA,NA,NA
1503, Caixa De Som Frahm Cm 600 Bt Multiuso Usb Sd Bluetoot 200rms ,649,NA,"
			
				Novo
			
			
				
					 - 
				
				27
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,40,https://perfil.mercadolivre.com.br/ELITEAUTOMOTIVA,https://produto.mercadolivre.com.br/MLB-1047646280-caixa-de-som-frahm-cm-600-bt-multiuso-usb-sd-bluetoot-200rms-_JM,19,16,3,1,1,#1047646280,Frahm,CM 600 BT,NA,200 W,Caixa,NA,NA,NA,NA,NA,6.3 kg,NA,Ativo,NA,NA,NA,NA,CM,NA,NA
1504, Caixa De Som Amplificada Titan Sm- Cap15t 600w Rms Sumay ,1129,NA,"
			
				Novo
			
			
				
					 - 
				
				16
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 9408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,9,https://perfil.mercadolivre.com.br/MULTIFORCE,https://produto.mercadolivre.com.br/MLB-980639330-caixa-de-som-amplificada-titan-sm-cap15t-600w-rms-sumay-_JM,6,3,0,0,0,#980639330,Sumay,cap15t,NA,600 W,conico,USB,NA,NA,NA,NA,16 kg,"portatil, Woofer",portatil,"interno, externo",fm,NA,NA,NA,NA,NA
1505, Caixa De Som Jbl Partybox 200 Bt Portátil 120w Rms Original ,2300,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 19167
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CITRON+INSTRUMENTOSMUSICAIS,https://produto.mercadolivre.com.br/MLB-1213682516-caixa-de-som-jbl-partybox-200-bt-portatil-120w-rms-original-_JM,NA,NA,NA,NA,NA,#1213682516,JBL,Party Box 200,NA,120 W,Caixa,NA,NA,NA,NA,NA,NA,NA,Ativo,NA,2.1,20 kHz,20 Hz,NA,NA,NA
1506," Caixa De Som Jbl, Boombox, 60 Watts, Camuflada ",1812,NA,"
			
			
				
				1
				vendido
			
		",(18 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 15104
		
		 sem juros
		
	

	
		",04,NA,Envio para todo o país,NA,NA,4.5,559,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1075123304-caixa-de-som-jbl-boombox-60-watts-camuflada-_JM,439,49,21,21,29,#1075123304,JBL,Boombox,NA,60 W,Caixa,NA,NA,25.4 cm,19.5 cm,45.8 cm,5.25 kg,Tweeter,Ativo,Portátil,.,NA,NA,NA,NA,NA
1507, Caixa Som Recarregável Portátil Bluetooth Fm/usb Com Leds ,92,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(13 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 772
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/IEI+ARTIGOS,https://produto.mercadolivre.com.br/MLB-1239228409-caixa-som-recarregavel-portatil-bluetooth-fmusb-com-leds-_JM,NA,NA,NA,NA,NA,#1239228409,Idea,Caixa SOM,Vermelha,15 W,Torre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1508, Aparelho De Som Bivolt 100w Radio Fm Bluetooth Usb Cartao ,215,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(22 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2059
		
		 sem juros
		
	

	
		",59,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/COMPRAR.MAISBARATO,https://produto.mercadolivre.com.br/MLB-1201035694-aparelho-de-som-bivolt-100w-radio-fm-bluetooth-usb-cartao-_JM,NA,NA,NA,NA,NA,#1201035694,Xtrad,XDG-25,Colorida,100 W,Caixa,USB,85 dB,34 cm,10 cm,24 cm,1.395 g,Woofer,Ativo/Passivo,Mesa,2.1,20000 Hz,100 Hz,Portátil,110V/220V (Bivolt),2
1509, Mini Caixa Caixinha Som Portátil Bluetooth Mp3 Fm Sd Aux Usb ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				28
				vendidos
			
		",(42 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 600
		
		 sem juros
		
	

	
		",00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,1,https://perfil.mercadolivre.com.br/SMART+UNIC,https://produto.mercadolivre.com.br/MLB-1106401364-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-aux-usb-_JM,NA,NA,NA,NA,NA,#1106401364,Caixa de som,WS-887,NA,887 W,Caixa,Auxiliar,NA,NA,NA,NA,246 g,Tweeter,NA,NA,NA,NA,NA,NA,NA,NA
1510, Caixa De Som Ecopower Ep-1288 - Bluetooth 15 Polegadas Usb ,1099,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 10504
		
		 sem juros
		
	

	
		",04,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/VSB+IMPORTS,https://produto.mercadolivre.com.br/MLB-1257793127-caixa-de-som-ecopower-ep-1288-bluetooth-15-polegadas-usb-_JM,NA,NA,NA,NA,NA,#1257793127,Ecopower,EP-1288,NA,900 W,Caixa,NA,NA,NA,NA,NA,NA,Subwoofer,Woofer,De piso,todos,NA,NA,NA,NA,NA
1511, Caixa De Som Jbl Rádio Relógio Bluetooth Horizon ,668,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5567
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOP+PRATICO,https://produto.mercadolivre.com.br/MLB-1029665941-caixa-de-som-jbl-radio-relogio-bluetooth-horizon-_JM,NA,NA,NA,NA,NA,#1029665941,JBL,Caixa De Som Jbl Rádio Relógio Bluetooth Horizon,Preto,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1512, Caixa Som Portátil Infinity Sumay 300w Bluetooth Microfone ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(43 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6690
		
		 sem juros
		
	

	
		",90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-1069892425-caixa-som-portatil-infinity-sumay-300w-bluetooth-microfone-_JM,NA,NA,NA,NA,NA,#1069892425,Sumay,SM-CAP08I,NA,300 W,Caixa,"USB, cartão sd, Entrada para Microfone",NA,NA,NA,NA,7.5 kg,"Alto-falante 12”, Subwoofer 12"", Tweeter 5”",Ativo,NA,NA,NA,NA,Infinity,NA,NA
1513, Caixa De Som Jbl Go2 Original Bluetooth À Prova D'água Com Garantia De Fábrica De 12 Meses!! Super Oferta!! ,139,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(999 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1166
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1606,https://perfil.mercadolivre.com.br/DEYLERVINICIOSAVELARPEREIRA,https://produto.mercadolivre.com.br/MLB-1281184116-caixa-de-som-jbl-go2-original-bluetooth-prova-dagua-com-garantia-de-fabrica-de-12-meses-super-oferta-_JM,1474,102,19,5,6,#1281184116,JBL,GO 2,NA,3 W,NA,NA,80 dB,NA,NA,NA,0.18 kg,NA,Ativo,Ambientes internos e externos.,NA,NA,NA,NA,NA,NA
1514, Caixa Som Amplificada Bluetooth Bateria + Microfone Karaokê ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(994 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EMP%C3%93RIO-VIRTUAL,https://produto.mercadolivre.com.br/MLB-1177066352-caixa-som-amplificada-bluetooth-bateria-microfone-karaok-_JM,NA,NA,NA,NA,NA,#1177066352,Grasep,DBH8104,NA,40 W,NA,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1515, Rádio Megaphone Speaker Multifunções K150 Com Rádio Fm ,37,NA,"
			
				Novo
			
			
				
					 - 
				
				24
				vendidos
			
		",(976 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 685
		
		 sem juros
		
	

	
		",85,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/NATAL+SHOW,https://produto.mercadolivre.com.br/MLB-968807780-radio-megaphone-speaker-multifuncoes-k150-com-radio-fm-_JM,NA,NA,NA,NA,NA,#968807780,Importado,H-8,NA,3 W,Caixa,NA,NA,NA,NA,NA,NA,Woofer,Ativo,NA,NA,NA,NA,NA,NA,NA
1516, Caixa De Som Bluetooth Kaidi Kd812 Preto ,100,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 842
		
		 sem juros
		
	

	
		",42,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/T.K.S.,https://produto.mercadolivre.com.br/MLB-1206803012-caixa-de-som-bluetooth-kaidi-kd812-preto-_JM,NA,NA,NA,NA,NA,#1206803012,Kaidi,KD812,NA,6 W,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1517, Arandela Quadrada 6 Coaxial Embutir Borderless 70w Frahm ,167,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(44 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1392
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VSSOM+BTOS,https://produto.mercadolivre.com.br/MLB-1121506455-arandela-quadrada-6-coaxial-embutir-borderless-70w-frahm-_JM,NA,NA,NA,NA,NA,#1121506455,Frahm,31823,NA,70 W,NA,NA,NA,25 cm,NA,8 cm,1.4 kg,Woofer,Woofer,NA,NA,NA,NA,Borderless,NA,NA
1518, Caixa Som Amplificada Bluetooth Radio Fm Usb Toca Musica Mp3 ,119,NA,"
			
				Novo
			
			
				
					 - 
				
				242
				vendidos
			
		",(34 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 999
		
		 sem juros
		
	

	
		",99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,25,https://perfil.mercadolivre.com.br/SELETOSTORE,https://produto.mercadolivre.com.br/MLB-986112349-caixa-som-amplificada-bluetooth-radio-fm-usb-toca-musica-mp3-_JM,12,6,4,1,2,#986112349,Goldenultra,BT-1728,NA,8 W,Torre,Auxiliar,NA,17.5 cm,8.5 cm,27.3 cm,951 g,Ativo,Ativo,Portátil,Digital,18 Hz,150 Hz,Caixa de Som Portátil Com Microfone,NA,2
1519, Mini Caixa Som Portátil Potente Qualidade Bluetooth Fm P2 ,30,NA,"
			
				Novo
			
			
				
					 - 
				
				45
				vendidos
			
		",(955 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 573
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,7,https://perfil.mercadolivre.com.br/PEREGRINUS_OFICIAL,https://produto.mercadolivre.com.br/MLB-844946163-mini-caixa-som-portatil-potente-qualidade-bluetooth-fm-p2-_JM,5,2,0,0,0,#844946163,wster,WS-887,Vermelha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520, Caixa Som Logitech Megaboom Speaker Bluetooth 36w Agua Ñ Jbl ,599,NA,"
			
				Novo
			
			
				
					 - 
				
				13
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5000
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,43,https://perfil.mercadolivre.com.br/SISCOM+ATECH,https://produto.mercadolivre.com.br/MLB-1246312941-caixa-som-logitech-megaboom-speaker-bluetooth-36w-agua-n-jbl-_JM,41,1,0,0,1,#1246312941,Logitech,MEGABOOM  Ultimate Ears,NA,36 W,CILINDRICO,NA,80 dB,NA,1 m,NA,877 g,Super tweeter,Super tweeter,"USB, BLUETOOTH",2.0,NA,NA,NA,NA,NA
1521, Caixa Som Bluetooth Amplificada 300w + Brinde Bolsa Térmica ,779,NA,"
			
				Novo
			
			
				
					 - 
				
				17
				vendidos
			
		",(43 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-802047040-caixa-som-bluetooth-amplificada-300w-brinde-bolsa-termica-_JM,NA,NA,NA,NA,NA,#802047040,Sumay,300w Infinity,NA,300 W,12,"USB, cartão sd, Entrada para Microfone",NA,NA,NA,NA,7.5 kg,caixa,torre,"portátil, De piso",NA,NA,NA,NA,NA,NA
1522, Caixa De Som 8w Rms Bluetooth Amplificada Usb Fm Sd ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				500
				vendidos
			
		",(115 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 609
		
		 sem juros
		
	

	
		",09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,6,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019262688-caixa-de-som-8w-rms-bluetooth-amplificada-usb-fm-sd-_JM,6,0,0,0,0,#1019262688,Importado,QS-501,NA,8 W,Caixa,Auxiliar,80 dB,NA,NA,NA,410 g,NA,NA,NA,NA,150 kHz,18 kHz,NA,NA,1
1523, Caixa De Som Bluetooth Xboom Go Pk3 Preta Lg À Prova D´água ,299,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(8 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ROMERO+SELLER,https://produto.mercadolivre.com.br/MLB-1254629506-caixa-de-som-bluetooth-xboom-go-pk3-preta-lg-prova-dagua-_JM,NA,NA,NA,NA,NA,#1254629506,LG,XBOOM GO PK3,NA,16 W,NA,NA,80 dB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XBOOM Go,NA,NA
1524, Jbl Charge 4 Original Com Nota Lançamento 2019 Cinza ,890,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 8506
		
		 sem juros
		
	

	
		",06,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,92,https://perfil.mercadolivre.com.br/VANEIMPORTS,https://produto.mercadolivre.com.br/MLB-1168543149-jbl-charge-4-original-com-nota-lancamento-2019-cinza-_JM,65,11,9,1,6,#1168543149,JBL,Charge 4,NA,40 W,arredondado,NA,NA,8.66 cm,3.74 cm,3.66 cm,2.13 lb,externo,Ativo,ar livre,nao,NA,NA,charge,bivolt,NA
1525, Caixa De Som Trc 436 350w Rms Amplificada Portátil Bluetooth ,665,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6356
		
		 sem juros
		
	

	
		",56,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/RCKAUDIO,https://produto.mercadolivre.com.br/MLB-1149791828-caixa-de-som-trc-436-350w-rms-amplificada-portatil-bluetooth-_JM,NA,NA,NA,NA,NA,#1149791828,TRC,436,NA,350 W,Caixa,USB,NA,NA,NA,NA,NA,NA,Ativo,NA,NA,NA,NA,TRC AMPLIFICADA,Bivolt,NA
1526, Caixa De Som Portatil Jbl Partybox 200 Com Usb Bluetooth ,1999,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 16667
		
		 sem juros
		
	

	
		",67,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/BESTWAYCOMERCIOELETRONICO,https://produto.mercadolivre.com.br/MLB-1173082749-caixa-de-som-portatil-jbl-partybox-200-com-usb-bluetooth-_JM,NA,NA,NA,NA,NA,#1173082749,JBL,Partybox 200,NA,120 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527, Google Home Assistente Pessoal Caixa De Som Original Vitrine ,419,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(73 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3499
		
		 sem juros
		
	

	
		",99,NA,Entrega a combinar com o vendedor,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/EMANX+TELECOM,https://produto.mercadolivre.com.br/MLB-1151875734-google-home-assistente-pessoal-caixa-de-som-original-vitrine-_JM,NA,NA,NA,NA,NA,#1151875734,Google,Google Home GA3A00417A14,NA,7 W,Caixa,NA,NA,NA,NA,NA,1100 g,Caixa,Ativo/Passivo,Casa,5.1,NA,NA,NA,NA,NA
